model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
gru_d,44.0,CO,24,1102.442138671875,679.803466796875,0.3359736016023944,50.95879364013672,4265
gru_d,44.0,CO,72,1220.57958984375,772.7779541015625,0.18298818603909983,56.7828369140625,4264
gru_d,44.0,SO2,6,9.243354797363281,5.813129425048828,0.47667296774943024,66.77051544189453,3414
gru_d,44.0,SO2,24,13.092839241027832,9.114855766296387,0.07654632163880115,74.89310455322266,3453
gru_d,44.0,SO2,72,12.423288345336914,8.964015007019043,0.15103004956938015,74.3285903930664,3452
dlinear,42.0,PM2.5,6,52.14618682861328,31.75618553161621,0.5930828572980233,54.615055084228516,4282
dlinear,42.0,PM2.5,24,81.03888702392578,55.52771759033203,0.18677041141236794,70.58094787597656,4295
dlinear,42.0,PM2.5,72,89.84807586669922,64.34346008300781,-0.0031615846169552597,78.2982406616211,4294
dlinear,42.0,PM10,6,64.2944564819336,40.55152130126953,0.503979878670358,54.14506149291992,4295
dlinear,42.0,PM10,24,97.06828308105469,66.47071838378906,0.13727267049261616,62.348323822021484,4310
dlinear,42.0,PM10,72,105.5745849609375,77.0241470336914,-0.0207950404763646,69.56890106201172,4309
dlinear,42.0,NO2,6,24.396625518798828,18.305776596069336,0.4305714255253317,44.432228088378906,4083
dlinear,42.0,NO2,24,32.743961334228516,24.818378448486328,0.23758024418686763,48.93611526489258,4295
dlinear,42.0,NO2,72,34.77560806274414,26.152250289916992,0.12898107814803694,50.26083755493164,4294
