candidate,seed,horizon,RMSE,MAE
validation_h6_rrelu_d128_a10_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a10_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d128_a10_g2,43,6,68.12690734863281,35.321685791015625
validation_h6_rrelu_d128_a10_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a10_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a10_g2,44,6,68.82770538330078,36.432125091552734
validation_h6_rrelu_d128_a10_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a10_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a100_g0,42,6,67.12459564208984,33.20310974121094
validation_h6_rrelu_d128_a100_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a100_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d128_a100_g0,43,6,66.34982299804688,32.32413864135742
validation_h6_rrelu_d128_a100_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a100_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a100_g0,44,6,67.23152923583984,34.37063980102539
validation_h6_rrelu_d128_a100_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a100_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a100_g2,42,6,67.00753784179688,33.66681671142578
validation_h6_rrelu_d128_a100_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a100_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d128_a100_g2,43,6,66.3477554321289,32.73719024658203
validation_h6_rrelu_d128_a100_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a100_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a100_g2,44,6,66.76515197753906,33.77216720581055
validation_h6_rrelu_d128_a100_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a100_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a1000_g0,42,6,66.45990753173828,32.519378662109375
validation_h6_rrelu_d128_a1000_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a1000_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d128_a1000_g0,43,6,65.83966827392578,32.75334167480469
validation_h6_rrelu_d128_a1000_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d128_a1000_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d128_a1000_g0,44,6,66.78766632080078,33.95679473876953
validation_h6_rrelu_d128_a1000_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d128_a1000_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d128_a1000_g2,42,6,66.35379028320312,32.290618896484375
validation_h6_rrelu_d128_a1000_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d128_a1000_g2,42,72,77.58252716064453,45.099666595458984
