model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
lstm,44.0,PM10,24,116.55239868164062,78.4609375,0.4629986519530067,48.242427825927734,3807.0
lstm,44.0,PM10,72,124.83568572998047,85.03948211669922,0.3853727405493106,51.60801315307617,3797.0
lstm,44.0,NO2,6,13.748086929321289,5.179664134979248,0.6102971547399709,70.77535247802734,3702.0
lstm,44.0,NO2,24,16.230764389038086,6.5774993896484375,0.5628260995439209,73.50431823730469,3819.0
lstm,44.0,NO2,72,17.390907287597656,6.972220420837402,0.48924493197449337,74.03679656982422,3817.0
lstm,44.0,O3,6,10.725008964538574,6.290962219238281,0.6275063797034122,80.30020904541016,3633.0
lstm,44.0,O3,24,13.73271369934082,6.891548156738281,0.48163795079685734,72.3358383178711,3639.0
lstm,44.0,O3,72,14.907824516296387,7.560965538024902,0.37815361228736566,71.04338073730469,3633.0
lstm,44.0,CO,6,2.1670994758605957,0.9747970104217529,0.3576494682460184,50.105594635009766,3950.0
lstm,44.0,CO,24,2.3050920963287354,1.1010353565216064,0.2626401198431437,49.56462860107422,4017.0
lstm,44.0,CO,72,2.4386661052703857,1.1985324621200562,0.1588228702624741,53.001617431640625,4021.0
lstm,44.0,SO2,6,25.098587036132812,5.162187576293945,0.08227161738106759,61.38202667236328,3871.0
lstm,44.0,SO2,24,25.832090377807617,6.554455280303955,0.042520445116445926,63.04940414428711,3948.0
lstm,44.0,SO2,72,26.53333282470703,6.9175848960876465,0.020912729090417637,66.25929260253906,3950.0
gru,42.0,PM2.5,6,67.34760284423828,34.310340881347656,0.46027566430235667,44.6699333190918,4459.0
gru,42.0,PM2.5,24,76.34696960449219,41.33841323852539,0.4494991429139339,44.430030822753906,4569.0
gru,42.0,PM2.5,72,79.24479675292969,45.64454650878906,0.4073641212934326,49.3375358581543,4566.0
gru,42.0,PM10,6,84.83628845214844,48.86719512939453,0.5019490812828684,44.20964431762695,3707.0
gru,42.0,PM10,24,110.04164123535156,73.62525939941406,0.5213180490433917,46.67327880859375,3807.0
gru,42.0,PM10,72,119.5624771118164,81.4695816040039,0.4362012352321617,50.68123245239258,3797.0
gru,42.0,NO2,6,13.74189281463623,5.042165279388428,0.6106482391996972,73.58492279052734,3702.0
gru,42.0,NO2,24,15.94867992401123,6.021973609924316,0.5778898629394702,73.33075714111328,3819.0
gru,42.0,NO2,72,16.7868709564209,6.965904712677002,0.5241087576334647,81.73702239990234,3817.0
gru,42.0,O3,6,12.777084350585938,6.2465434074401855,0.4713271844390836,76.23959350585938,3633.0
gru,42.0,O3,24,15.797836303710938,7.269880771636963,0.3140132859286384,71.3615951538086,3639.0
gru,42.0,O3,72,16.83236312866211,7.773156642913818,0.20723444259335122,73.2047348022461,3633.0
gru,42.0,CO,6,2.249814987182617,0.8804357647895813,0.3076783028238679,42.38190460205078,3950.0
gru,42.0,CO,24,2.335966110229492,1.0040433406829834,0.2427557769515164,44.233638763427734,4017.0
